1.50	30.47	56.93	60.01
1.60	-2.42	23.99	27.05
1.70	-22.39	3.90	6.91
1.80	-33.91	-7.80	-4.87
1.90	-40.02	-14.15	-11.32
2.00	-42.68	-17.13	-14.41
2.10	-43.20	-18.01	-15.42
2.20	-42.42	-17.64	-15.22
2.30	-40.89	-16.56	-14.34
2.40	-38.96	-15.13	-13.09
2.50	-36.85	-13.56	-11.69
2.60	-34.70	-11.97	-10.29
2.70	-32.58	-10.42	-8.95
2.80	-30.54	-8.98	-7.71
2.90	-28.61	-7.66	-6.60
3.00	-26.79	-6.46	-5.63
3.10	-25.09	-5.40	-4.77
3.20	-23.51	-4.46	-4.04
3.30	-22.06	-3.64	-3.45
3.40	-20.72	-2.95	-2.94
3.50	-19.48	-2.35	-2.55
3.60	-18.34	-1.85	-2.25
3.70	-17.29	-1.44	-2.02
3.80	-16.32	-1.10	-1.86
3.90	-15.43	-0.83	-1.74
4.00	-14.60	-0.63	-1.65
4.10	-13.84	-0.47	-1.56
4.20	-13.12	-0.36	-1.49
4.30	-12.46	-0.29	-1.42
4.40	-11.84	-0.25	-1.37
4.50	-11.27	-0.22	-1.31
4.60	-10.73	-0.21	-1.27
4.70	-10.22	-0.19	-1.25
4.80	-9.75	-0.17	-1.23
4.90	-9.30	-0.16	-1.21
5.00	-8.88	-0.14	-1.20
5.10	-8.49	-0.13	-1.19
5.20	-8.11	-0.12	-1.17
5.30	-7.76	-0.11	-1.16
5.40	-7.43	-0.10	-1.15
5.50	-7.11	-0.09	-1.14
5.60	-6.81	-0.08	-1.13
5.70	-6.53	-0.07	-1.13
5.80	-6.26	-0.06	-1.12
5.90	-6.00	-0.05	-1.11
6.00	-5.76	-0.04	-1.10
