1.50	16.87	27.69	29.41
1.60	-11.34	-0.42	1.31
1.70	-27.12	-16.08	-14.35
1.80	-35.07	-23.84	-22.17
1.90	-38.09	-26.71	-25.11
2.00	-38.12	-26.71	-25.15
2.10	-36.40	-25.04	-23.54
2.20	-33.74	-22.42	-21.15
2.30	-30.64	-19.35	-18.40
2.40	-27.41	-16.29	-15.62
2.50	-24.23	-13.37	-12.98
2.60	-21.22	-10.70	-10.67
2.70	-18.42	-8.34	-8.75
2.80	-15.85	-6.35	-7.19
2.90	-13.52	-4.68	-5.88
3.00	-11.41	-3.35	-4.81
3.10	-9.52	-2.40	-4.12
3.20	-7.82	-1.57	-3.56
3.30	-6.31	-1.08	-3.15
3.40	-4.96	-0.83	-2.84
3.50	-3.75	-0.64	-2.58
3.60	-2.68	-0.55	-2.37
3.70	-1.72	-0.59	-2.19
3.80	-0.87	-0.65	-2.04
3.90	-0.11	-0.61	-1.92
4.00	0.58	-0.55	-1.81
4.10	1.20	-0.50	-1.73
4.20	1.76	-0.45	-1.67
4.30	2.26	-0.41	-1.62
4.40	2.72	-0.38	-1.57
4.50	3.13	-0.35	-1.54
4.60	3.51	-0.32	-1.50
4.70	3.85	-0.29	-1.47
4.80	4.16	-0.26	-1.45
4.90	4.44	-0.24	-1.42
5.00	4.71	-0.22	-1.40
5.10	4.95	-0.20	-1.39
5.20	5.17	-0.18	-1.37
5.30	5.37	-0.16	-1.35
5.40	5.56	-0.15	-1.34
5.50	5.73	-0.14	-1.33
5.60	5.89	-0.12	-1.32
5.70	6.04	-0.11	-1.31
5.80	6.18	-0.10	-1.30
5.90	6.31	-0.09	-1.29
6.00	6.43	-0.08	-1.29
