1.50	57.72	61.80	64.67
1.60	23.92	28.38	31.26
1.70	2.94	7.81	10.66
1.80	-9.66	-4.37	-1.58
1.90	-16.89	-11.19	-8.48
2.00	-20.69	-14.60	-12.01
2.10	-22.33	-15.90	-13.43
2.20	-22.65	-15.91	-13.58
2.30	-22.19	-15.19	-12.99
2.40	-21.28	-14.08	-12.03
2.50	-20.14	-12.79	-10.90
2.60	-18.90	-11.45	-9.74
2.70	-17.62	-10.12	-8.60
2.80	-16.37	-8.87	-7.52
2.90	-15.17	-7.71	-6.52
3.00	-14.04	-6.64	-5.65
3.10	-12.98	-5.69	-4.90
3.20	-11.99	-4.85	-4.24
3.30	-11.08	-4.10	-3.68
3.40	-10.25	-3.46	-3.21
3.50	-9.48	-2.91	-2.84
3.60	-8.78	-2.44	-2.55
3.70	-8.13	-2.05	-2.31
3.80	-7.55	-1.72	-2.15
3.90	-7.01	-1.47	-2.02
4.00	-6.52	-1.26	-1.91
4.10	-6.07	-1.10	-1.82
4.20	-5.65	-0.99	-1.74
4.30	-5.27	-0.91	-1.66
4.40	-4.92	-0.87	-1.60
4.50	-4.60	-0.84	-1.55
4.60	-4.30	-0.82	-1.50
4.70	-4.02	-0.80	-1.47
4.80	-3.77	-0.78	-1.46
4.90	-3.53	-0.77	-1.44
5.00	-3.31	-0.75	-1.43
5.10	-3.10	-0.74	-1.42
5.20	-2.91	-0.73	-1.41
5.30	-2.73	-0.72	-1.40
5.40	-2.56	-0.71	-1.39
5.50	-2.40	-0.70	-1.38
5.60	-2.25	-0.69	-1.37
5.70	-2.11	-0.68	-1.37
5.80	-1.98	-0.67	-1.36
5.90	-1.85	-0.66	-1.35
6.00	-1.73	-0.66	-1.35
